公司名称,研报文件路径,是否上传飞书,是否生成研报,message_id
大唐发电,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/大唐发电_20260511_215935_report.md,是,是,om_x100b6f2a49884ca0b290c23e6d44fb7
盐湖股份,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/盐湖股份_20260513_104617_report.md,是,是,om_x100b6f0a14e7c0b4c33bb9aeabe03a3
中科电气,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/中科电气_20260513_195829_report.md,是,是,om_x100b6f723e75f0acc10a9ca2215c0a8
莱斯信息,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/莱斯信息_20260514_081742_report.md,是,是,om_x100b6f650a4120a0c3c37d40295e29d
大唐发电,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/大唐发电_20260514_164342_report.md,是,是,om_x100b6f6ce3b2b894c4d8e3857960f92
风华高科,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/风华高科_20260515_034543_report.md,是,是,om_x100b6f562f8d1ca0c32aa2e6d74b657
拉姆研究,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/拉姆研究_20260515_182515_report.md,是,是,om_x100b6f5b0c12d4b8c2e850101c08759
中科星图,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/中科星图_20260516_011602_report.md,是,是,om_x100b6f4106c284a0c423baf71c04940
北斗星通,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/北斗星通_20260516_011827_report.md,是,是,om_x100b6f411efd30acc4e9ae88f8b8997
国盾量子,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/国盾量子_20260516_161342_report.md,是,是,om_x100b6fb623931cb8c26350e8c7ce0a2
长江电力,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/长江电力_20260516_230743_report.md,是,是,om_x100b6fbc30cbc0acc4ee2554d1507e5
迈威尔,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/迈威尔_20260603_175903_report.md,是,是,om_x100b6ecbed71a8e4c4ae17169ced071
中兴通讯,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/中兴通讯_20260603_182330_report.md,是,是,om_x100b6ecbb30f4cacc2a0677db264089
黑芝麻智能,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/黑芝麻智能_20260603_224046_report.md,是,是,om_x100b6d37514ed0b0b14e0d36a5dfd93
